update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0,nan,0,9,0,0,0,0,0,0,0,0,0,0
1,4,0,0,9,2,0,0,0,0,0,0,0,0,0
2,6,0,0,9,3,0,0,0,0,0,0,0,0,0
3,12,0,0,9,4,0,0,0,0,0,0,0,0,0
4,14,0,0,9,4,0,0,0,0,0,0,0,0,0
5,18,0,0,9,4,0,0,0,0,0,0,0,0,0
6,24,0,0,9,5,0,0,0,0,0,0,0,0,0
7,26,0,0,9,5,0,0,0,0,0,0,0,0,0
8,34,0,0,9,5,0,0,0,0,0,0,0,0,0
9,34,0,0,9,5,0,0,0,0,0,0,0,0,0
10,36,0,0,9,5,0,0,0,0,0,0,0,0,0
11,42,0,0,9,5,0,0,0,0,0,0,0,0,0
12,42,0,0,9,5,0,0,0,0,0,0,0,0,0
13,46,0,0,9,5,0,0,0,0,0,0,0,0,0
14,54,0,0,9,5,0,0,0,0,0,0,0,0,0
15,56,0,0,9,5,0,0,0,0,0,0,0,0,0
16,36,0,0,9,5,0,0,0,0,0,0,0,0,0
17,38,0,0,9,5,0,0,0,0,0,0,0,0,0
18,42,0,0,9,5,0,0,0,0,0,0,0,0,0
19,48,0,0,9,5,0,0,0,0,0,0,0,0,0
20,50,0,0,9,5,0,0,0,0,0,0,0,0,0
21,52,0,0,9,5,0,0,0,0,0,0,0,0,0
22,38,0,0,10,5,0,0,0,0,0,0,0,0,0
23,42,0,0,10,6,0,0,0,0,0,0,0,0,0
24,48,0,0,10,6,0,0,0,0,0,0,0,0,0
25,52,0,0,10,6,0,0,0,0,0,0,0,0,0
26,54,0,0,10,6,0,0,0,0,0,0,0,0,0
27,60,0,0,10,6,0,0,0,0,0,0,0,0,0
28,60,0,0,10,6,0,0,0,0,0,0,0,0,0
29,60,0,0,10,6,0,0,0,0,0,0,0,0,0
30,34,0,0,12,6,0,0,0,0,0,0,0,0,0
31,40,0,0,12,7,0,0,0,0,0,0,0,0,0
32,42,0,0,12,7,0,0,0,0,0,0,0,0,0
33,50,0,0,12,8,0,0,0,0,0,0,0,0,0
34,52,0,0,12,8,0,0,0,0,0,0,0,0,0
35,62,0,0,12,8,0,0,0,0,0,0,0,0,0
36,64,0,0,12,8,0,0,0,0,0,0,0,0,0
37,68,0,0,12,8,0,0,0,0,0,0,0,0,0
38,82,0,0,12,8,0,0,0,0,0,0,0,0,0
39,84,0,0,12,8,0,0,0,0,0,0,0,0,0
40,86,0,0,12,8,0,0,0,0,0,0,0,0,0
41,76,0,0,13,8,0,0,0,0,0,0,0,0,0
42,80,0,0,13,8,0,0,0,0,0,0,0,0,0
43,90,0,0,13,9,0,0,0,0,0,0,0,0,0
44,74,0,0,14,9,0,0,0,0,0,0,0,0,0
45,80,0,0,14,9,0,0,0,0,0,0,0,0,0
46,66,0,0,14,9,0,0,0,0,0,0,0,0,0
47,80,0,0,14,10,0,0,0,0,0,0,0,0,0
48,86,0,0,14,10,0,0,0,0,0,0,0,0,0
49,100,0,0,14,10,0,0,0,0,0,0,0,0,0
50,104,0,0,14,10,0,0,0,0,0,0,0,0,0
51,110,0,0,14,10,0,0,0,0,0,0,0,0,0
52,122,0,0,14,10,0,0,0,0,0,0,0,0,0
53,128,0,0,14,10,0,0,0,0,0,0,0,0,0
54,140,0,0,14,10,0,0,0,0,0,0,0,0,0
